"","H1_PelletTriflic_Fl_R1","H1_PelletTriflic_Fl_R2","H1_PelletTriflic_Fl_R3","H1_SonicSupTriflic_V2_R1","H1_SonicSupTriflic_V2_R2","H1_SonicSupTriflic_V2_R3","H1_wholetriflic_R1","H1_wholetriflic_R2","H1_wholetriflic_R3"
"56199737",4.09447186008856,3.81446958001933,3.98736623506575,3.53636716115595,3.53636716115595,3.53636716115595,4.25618148713542,4.15814002369993,4.4522337744852
"56204008",3.65525897135169,3.65621456214349,3.73369731670766,3.53636716115595,3.53636716115595,3.53636716115595,3.95174980122194,3.88893982300725,3.98466726063463
"56215621",4.14239812400317,4.14529513173737,4.18171441368498,3.94908945436606,3.90720861963273,4.06477438079124,3.53636716115595,3.53636716115595,3.53636716115595
"56236083",3.53636716115595,3.53636716115595,3.53636716115595,3.94908945436606,3.71534288314147,3.9673699839213,3.53636716115595,3.53636716115595,3.53636716115595
"56263791",3.81275054827961,3.65621456214349,3.80880976029009,4.17184430972789,4.18623461090064,4.23988580738442,3.82424572839498,3.82206430322607,3.85107171920376
"56276091",3.65525897135169,3.58595447815359,3.6530894836839,4.13035920483081,4.14390789379214,4.28108041126328,3.53636716115595,3.53636716115595,3.53636716115595
"56296788",3.53636716115595,3.53636716115595,3.53636716115595,3.89788177515696,3.90720861963273,3.7937080189076,3.53636716115595,3.53636716115595,3.53636716115595
"56302028",3.9377535473782,3.81446958001933,3.80880976029009,3.94908945436606,3.95921521198197,3.91469490596101,3.74722024957899,3.94908945436606,3.77080736925675
"56329760",3.73713882203652,3.73864299363903,3.80880976029009,3.53636716115595,3.53636716115595,3.53636716115595,4.11260307561654,4.1091526797787,4.04432505426388
"56331916",3.65525897135169,3.65621456214349,3.73369731670766,3.53636716115595,3.53636716115595,3.53636716115595,3.95174980122194,3.88893982300725,3.98466726063463
"56332816",5.21635963194596,5.19498652162472,5.02707457263028,6.56691488198827,6.55905282325819,6.6096842341321,5.11480107917271,5.13683312430866,5.21542911951152
"56335797",3.65525897135169,3.58595447815359,3.73369731670766,3.89788177515696,3.95921521198197,3.91469490596101,3.53636716115595,3.53636716115595,3.53636716115595
"56348636",3.65525897135169,3.65621456214349,3.6530894836839,3.94908945436606,3.78749900742069,3.85745620711512,3.53636716115595,3.53636716115595,3.53636716115595
