"","PA_sonic_1","PA_sonic_2","PA_sonic_3","PA_triflic_1","PA_triflic_2","PA_triflic_3"
"O69754",21.6764355067593,18.634507235254,14.5336783122189,22.8250723266067,38.2714007912442,16.0437569498682
"O82850",36.7842541932885,18.634507235254,48.8860088683726,104.726802439725,28.9369127933798,43.4125188055258
"O82851",87.3626037090601,70.1012415040508,43.6010349366567,734.430268391402,179.222169558997,254.81261038026
"O82852",9.19606354832212,3.54942994957219,11.8911913463609,2.68530262665961,1.86689759957289,3.77500163526312
"O82853",24.9607439168743,9.76093236132353,31.7098435902958,10.7412105066384,17.7355271959425,33.975014717368
"O85732",9.19606354832212,1.7747149747861,0,14.7691644466278,11.2013855974373,3.77500163526312
"O86428",38.0979775573345,40.8184444200802,46.2435219025147,193.341789119492,183.88941355793,57.5687749377625
"O87016",0,0,2.64248696585798,0,0,3.77500163526312
"O87125",18.3921270966442,14.1977197982888,13.2124348292899,0,10.2679367976509,9.43750408815779
"P00099",8.53920186629911,21.2965796974332,31.7098435902958,24.1677236399365,2.80034639935933,7.55000327052623
